ts,ticker,model,n,errors,error_rate,ttft_p50,ttft_p95,ttft_p99,total_p50,total_p95,total_p99,tok_per_sec,provider,date,hour_utc,ttft_tail_ratio
2026-07-02T14:54:23.471715+00:00,CBRS,gpt-oss-120b,8,2,0.25,138.1,583.5,583.5,151.5,627.0,627.0,286.0,cerebras,2026-07-02,14,4.225
2026-07-02T17:00:02.159110+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,232.5,421.9,421.9,410.6,634.8,634.8,104.3,groq,2026-07-02,17,1.815
2026-07-02T17:00:06.115512+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,139.5,242.9,242.9,215.1,560.5,560.5,175.0,groq,2026-07-02,17,1.741
2026-07-02T17:00:10.091068+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,136.0,431.2,431.2,212.7,506.7,506.7,277.0,groq,2026-07-02,17,3.171
2026-07-02T17:00:13.250222+00:00,QWEN,qwen/qwen3-32b,6,0,0.0,63.6,269.2,269.2,186.3,376.7,376.7,272.5,groq,2026-07-02,17,4.233
2026-07-02T17:00:32.000253+00:00,GMNI,gemini-2.5-flash,6,2,0.3333,1750.7,1798.9,1798.9,1750.7,1798.9,1798.9,5.4,google,2026-07-02,17,1.028
2026-07-02T17:01:36.591824+00:00,CBRS,gpt-oss-120b,8,2,0.25,222.9,811.2,811.2,241.1,833.7,833.7,251.9,cerebras,2026-07-02,17,3.639
2026-07-02T17:01:38.350743+00:00,OPRT,deepseek/deepseek-chat-v3-0324:free,6,6,1.0,,,,,,,,openrouter,2026-07-02,17,
2026-07-02T18:45:33.706616+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,87.5,268.9,268.9,277.3,418.8,418.8,141.6,groq,2026-07-02,18,3.073
2026-07-02T18:45:36.981764+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,56.2,141.7,141.7,165.9,223.2,223.2,275.3,groq,2026-07-02,18,2.521
2026-07-02T18:45:41.323353+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,213.0,264.2,264.2,278.2,332.0,332.0,267.9,groq,2026-07-02,18,1.24
2026-07-02T18:45:45.176438+00:00,QWEN,qwen/qwen3-32b,6,0,0.0,111.1,301.9,301.9,252.5,423.7,423.7,206.5,groq,2026-07-02,18,2.717
2026-07-02T18:46:01.055264+00:00,GMNI,gemini-2.5-flash,6,4,0.6667,2917.6,3204.3,3204.3,2917.6,3204.3,3204.3,3.1,google,2026-07-02,18,1.098
2026-07-02T18:47:03.947487+00:00,CBRS,gpt-oss-120b,8,4,0.5,149.1,227.0,227.0,161.1,258.7,258.7,462.9,cerebras,2026-07-02,18,1.522
2026-07-02T20:36:44.396692+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,128.6,237.7,237.7,309.7,429.9,429.9,137.8,groq,2026-07-02,20,1.848
2026-07-02T20:36:48.345473+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,113.9,226.2,226.2,224.7,312.3,312.3,202.5,groq,2026-07-02,20,1.986
2026-07-02T20:36:52.922927+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,209.4,441.7,441.7,288.2,516.9,516.9,255.7,groq,2026-07-02,20,2.109
2026-07-02T20:36:56.283137+00:00,QWEN,qwen/qwen3-32b,6,0,0.0,74.2,223.8,223.8,203.5,360.1,360.1,287.0,groq,2026-07-02,20,3.016
2026-07-02T20:37:10.739111+00:00,GMNI,gemini-2.5-flash,6,5,0.8333,2349.2,2349.2,2349.2,2349.2,2349.2,2349.2,4.7,google,2026-07-02,20,1.0
2026-07-02T20:38:14.386791+00:00,CBRS,gpt-oss-120b,8,2,0.25,200.5,303.4,303.4,221.4,343.0,343.0,386.2,cerebras,2026-07-02,20,1.513
2026-07-02T20:38:16.380917+00:00,OPRT,deepseek/deepseek-chat-v3-0324:free,6,6,1.0,,,,,,,,openrouter,2026-07-02,20,
2026-07-02T22:16:53.962969+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,191.0,255.6,255.6,355.7,421.0,421.0,142.1,groq,2026-07-02,22,1.338
2026-07-02T22:16:56.658974+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,44.6,87.8,87.8,146.3,223.9,223.9,320.6,groq,2026-07-02,22,1.969
2026-07-02T22:17:00.791019+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,221.8,367.5,367.5,290.4,441.1,441.1,229.7,groq,2026-07-02,22,1.657
2026-07-02T22:17:03.876492+00:00,QWEN,qwen/qwen3-32b,6,0,0.0,106.0,263.5,263.5,222.7,366.7,366.7,258.8,groq,2026-07-02,22,2.486
2026-07-02T22:17:16.337473+00:00,GMNI,gemini-2.5-flash,6,6,1.0,,,,,,,,google,2026-07-02,22,
2026-07-02T22:18:19.190332+00:00,CBRS,gpt-oss-120b,8,2,0.25,161.6,301.7,301.7,191.6,303.2,303.2,403.3,cerebras,2026-07-02,22,1.867
2026-07-03T00:17:12.833364+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,138.3,334.4,334.4,323.8,532.0,532.0,131.2,groq,2026-07-03,0,2.418
2026-07-03T00:17:16.326119+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,104.7,117.1,117.1,207.9,230.1,230.1,230.4,groq,2026-07-03,0,1.118
2026-07-03T00:17:21.376429+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,297.4,426.9,426.9,367.3,502.2,502.2,223.5,groq,2026-07-03,0,1.435
